share,a,b,gamma,R,apr_ra
0.006137635351910022,0.010380094582138389,0.03085604875801918,0.005614076705827449,0.042,0.041712450433201
0.006098856050957982,0.01780471657327398,0.013434231932992972,0.015909166549479305,0.042,0.041712450433201
0.0060544881306492096,0.008871157831384039,0.02478723059138478,0.01383523293613009,0.042,0.041712450433201
0.006031143109649153,0.02040617267074987,0.017730724876551092,0.009540559540220997,0.042,0.041712450433201
0.0060090464309948905,0.014391378122646206,0.013086842149955973,0.02037455805106156,0.042,0.041712450433201
0.005942803576040844,0.010442167062327682,0.027774315952909388,0.010169697534006258,0.042,0.041712450433201
0.005937060206294504,0.013524144445213892,0.027048533643929215,0.007860310091461759,0.042,0.041712450433201
0.005929276139357614,0.009907362256741978,0.03045439591448706,0.008134813761100418,0.042,0.041712450433201
0.005905208347110603,0.015423760082917914,0.025725991644207608,0.007544477146221204,0.042,0.041712450433201
0.005872620400971673,0.0136894779070365,0.018539438911405488,0.01673552276144705,0.042,0.041712450433201
0.005864427614783498,0.013212484237708787,0.022453472300362032,0.013366887873568649,0.042,0.041712450433201
0.005836392170383657,0.011756492241833045,0.02942729550387757,0.008084588745189072,0.042,0.041712450433201
0.005756909314003489,0.018942358391884805,0.02314402241875614,0.007862220272851285,0.042,0.041712450433201
0.005754757224242574,0.010610831179243546,0.023884947632012363,0.0154715014047827,0.042,0.041712450433201
0.005742777418765987,0.009148293850638041,0.03065988809626783,0.010263333250489694,0.042,0.041712450433201
0.005735643641594914,0.011881034210204285,0.009777260879459414,0.02847549716927136,0.042,0.041712450433201
0.005730211378104733,0.012786364344816937,0.02182383178687828,0.015571123164436611,0.042,0.041712450433201
0.005617973621189372,0.008697241370457343,0.034402320567732465,0.008084296546735675,0.042,0.041712450433201
0.005600489722807478,0.013219595151556917,0.029775611657229924,0.008348440091944378,0.042,0.041712450433201
0.005588560058245499,0.02175276672595826,0.010585927788560217,0.019114553513968485,0.042,0.041712450433201
0.0055704127176509355,0.031672266611462725,0.012850726457282316,0.007097879813410444,0.042,0.041712450433201
0.005557882948558726,0.015478954613489207,0.022721745127380472,0.01353654795945636,0.042,0.041712450433201
0.005542599680471243,0.02439039480611055,0.017459588858547266,0.010029925290728468,0.042,0.041712450433201
0.005502293641387314,0.007993266641770963,0.03663396577143297,0.007632713264013735,0.042,0.041712450433201
0.005499383288950247,0.022389009919561685,0.021877141015572036,0.008021451454168063,0.042,0.041712450433201
