share,a,b,gamma,R,apr_ra
0.007889377453252513,9.491993236159928e-07,6.383638799456279e-06,0.0053591181500138585,0.042,0.04195766204257021
0.007795617218629978,9.684175857881477e-07,1.0341004079194439e-05,0.0054196854877070245,0.042,0.04195766204257021
0.007744560368472527,9.362899961922599e-07,2.6996102157314496e-06,0.005463163429307999,0.042,0.04195766204257021
0.007634202436855009,1.2720656248620842e-06,6.49757030565475e-06,0.00553805624175393,0.042,0.04195766204257021
0.007450114877027904,1.5836133305731383e-06,2.499021773957042e-06,0.005678777042715924,0.042,0.04195766204257021
0.007438951593562593,5.3814886138738e-07,4.571099107484861e-06,0.005686278429083624,0.042,0.04195766204257021
0.007319638134231177,2.8118120949198333e-06,2.222108223622793e-06,0.005779125986684725,0.042,0.04195766204257021
0.007283303640443425,1.4787535152304637e-06,5.811640574742956e-06,0.0058057251713594625,0.042,0.04195766204257021
0.0071876817296901395,7.930946315905527e-07,6.9422040351625114e-06,0.0058826141939807685,0.042,0.04195766204257021
0.007035947185118045,4.861271590996005e-07,7.719715505161936e-06,0.006009172673101538,0.042,0.04195766204257021
0.00700743920586157,7.711880041458956e-07,5.00281548200566e-06,0.006036084682120054,0.042,0.04195766204257021
0.006924525782574285,3.996633320885485e-07,7.124039129891241e-06,0.0061066794587619315,0.042,0.04195766204257021
0.006766496005401803,4.345880470990895e-07,7.978530517020585e-06,0.006248585687907221,0.042,0.04195766204257021
0.006729376105110046,4.4449827383110065e-07,4.609629467142366e-06,0.006286458899394224,0.042,0.04195766204257021
0.006725960183842398,6.762072222606952e-07,5.2600041526433455e-06,0.00628877209384218,0.042,0.04195766204257021
0.006724849233438592,9.471179195942409e-07,4.500711781056231e-06,0.006290300366299227,0.042,0.04195766204257021
0.00659154566993861,1.1194504959780841e-06,4.254347171078542e-06,0.006417695926764737,0.042,0.04195766204257021
0.00656945646385347,1.9644692073753828e-06,4.060761878091816e-06,0.006438641487195492,0.042,0.04195766204257021
0.006539165052569091,5.878246120916533e-07,5.722591050188023e-06,0.006468209968734279,0.042,0.04195766204257021
0.006538578577398609,4.3486206852286714e-07,6.690061333045844e-06,0.006467976190491666,0.042,0.04195766204257021
0.006525874604485326,7.121686965026879e-07,4.315610161175592e-06,0.0064826784667837405,0.042,0.04195766204257021
0.0064987237957970425,4.953681128370988e-07,5.922326551421009e-06,0.006508393329797751,0.042,0.04195766204257021
0.006352805033855932,4.3147196583875e-06,7.011279584574738e-06,0.006653124932929672,0.042,0.04195766204257021
0.006332557225213849,6.609797575778464e-07,5.7903264933430845e-06,0.006679308636228309,0.042,0.04195766204257021
0.006286734581701677,5.437792169722899e-07,2.7814767835619828e-06,0.00673116573921693,0.042,0.04195766204257021
0.006242002011682853,9.217295480197634e-07,5.6969583088670346e-06,0.0067761342414997955,0.042,0.04195766204257021
0.006123457171394862,7.03775853296507e-07,8.076494602083447e-06,0.006905280895444472,0.042,0.04195766204257021
0.0060227305954393155,8.679466316715333e-07,3.3981238016573958e-06,0.007025428643431574,0.042,0.04195766204257021
0.005987638548976972,8.894718069782319e-07,5.0882787740799476e-06,0.007064916239341879,0.042,0.04195766204257021
0.0059108025208220415,5.428469132841928e-07,2.7755014104148583e-06,0.007159491994374747,0.042,0.04195766204257021
0.005905572308392937,1.0615371259127259e-06,3.1708690712843936e-06,0.007164921609514695,0.042,0.04195766204257021
0.00575015265419346,1.603658363215294e-06,3.480657905245437e-06,0.007357843239909726,0.042,0.04195766204257021
0.005714838003321367,1.689060996880794e-06,5.517176805581242e-06,0.0074012202836817986,0.042,0.04195766204257021
0.005604838166864434,1.3664545436566565e-06,6.910513700368293e-06,0.00754554638388992,0.042,0.04195766204257021
0.005558591997982306,7.6516777732691e-07,2.790185582067056e-06,0.007613114019956778,0.042,0.04195766204257021
