name,entity_type,validators,effective_balance_gwei,share
NO - 0x327260c50634136551bfe4e4eb082281555aafae,None,374,11968000000000,0.000156994174
CSM Operator 221,None,368,11776000000000,0.000154475551
NO - 0x1959ee824a1523a2264ada2eaf9839b0b8ededbb,None,360,11520000000000,0.000151117387
NO - 0xacfad9f0d80f74ad7e280a55ea025f4f09844b0f,None,359,11488000000000,0.000150697617
NO - 0x4ec5fa6a4fff7ec823b45db6d57f2716833e8147,None,356,11392000000000,0.000149438305
CSM Operator 68,None,356,11392000000000,0.000149438305
NO - 0x8dea24025cf3080fe46af8511c1be871302b2d63,None,352,11264000000000,0.000147759223
NO - 0xf434181210aea14b9c1f19b0bba3b56c2995cdb3,None,350,11200000000000,0.000146919682
NO - 0x5d8172792a9e649053c07366e3a7c24a37f0c534,None,350,11200000000000,0.000146919682
CSM Operator 32,None,350,11200000000000,0.000146919682
CSM Operator 27,None,350,11200000000000,0.000146919682
CSM Operator 29,None,350,11200000000000,0.000146919682
NO - 0x0afe84a5445117b9effd0f4c085085438e36fec5,None,340,10880000000000,0.000142721977
GlobalStake,None,335,10720000000000,0.000140623124
NO - 0xed8da4daf5b1b112fd27123ca414496cf033a3bb,None,335,10720000000000,0.000140623124
NO - 0xc62c5925218a59bc41e1cf3bb24321857ec173a0,None,333,10656000000000,0.000139783583
CSM Operator 342,None,332,10624000000000,0.000139363813
NO - 0xe20cb85b2fb338ce541859cd699810d7641696d2,None,330,10560000000000,0.000138524272
NO - 0x21f3e66382bc47d46e9d28331561dbdcdf34ff1b,None,330,10560000000000,0.000138524272
CSM Operator 124,None,324,10368000000000,0.000136005648
NO - 0xc23b28337896ab92d7e8ed0303cec0609a58143b,None,321,10272000000000,0.000134746337
Obol - Harmonious Hawk,None,320,10240000000000,0.000134326566
SSV - Lively Lynx,None,320,10240000000000,0.000134326566
Obol - Brave Bison,None,320,10240000000000,0.000134326566
Obol - Whistling Wolf,None,320,10240000000000,0.000134326566
SSV - Delightful Dolphin,None,320,10240000000000,0.000134326566
Obol - Audacious Aardvark,None,320,10240000000000,0.000134326566
Obol - Frolicsome Frog,None,320,10240000000000,0.000134326566
Obol - Tranquil Turtle,None,320,10240000000000,0.000134326566
SSV - Agile Antelope,None,320,10240000000000,0.000134326566
Obol - Quixotic Quail,None,320,10240000000000,0.000134326566
SSV - Mysterious Manta,None,320,10240000000000,0.000134326566
Obol - Clever Chameleon,None,320,10240000000000,0.000134326566
Obol - Observant Octopus,None,320,10240000000000,0.000134326566
Obol - Bountiful Bison,None,320,10240000000000,0.000134326566
SSV - Optimistic Orca,None,320,10240000000000,0.000134326566
SSV - Blissful Bear,None,320,10240000000000,0.000134326566
SSV - Quiet Quetzal,None,320,10240000000000,0.000134326566
SSV - Curious Coyote,None,320,10240000000000,0.000134326566
Obol - Gallant Gecko,None,320,10240000000000,0.000134326566
Obol - Azure Albatross,None,320,10240000000000,0.000134326566
Obol - Xeric Xiphosuran,None,320,10240000000000,0.000134326566
Obol - Radiant Raccoon,None,320,10240000000000,0.000134326566
SSV - Noble Newt,None,320,10240000000000,0.000134326566
Obol - Covert Cougar,None,320,10240000000000,0.000134326566
Obol - Genteel Giraffe,None,320,10240000000000,0.000134326566
NO - 0x33e1593232a4ea27e7cde4733d000b53b47ba392,None,315,10080000000000,0.000132227714
NO - 0x8b2efc253ece18e2d51d68771a085c14dda26a5a,None,312,9984000000000,0.000130968402
SSV - Brave Binturong,None,312,9984000000000,0.000130968402
SSV - Honest Hoopoe,None,308,9856000000000,0.000129289320
SSV - Dashing Dingo,None,308,9856000000000,0.000129289320
SSV - Elegant Eel,None,308,9856000000000,0.000129289320
SSV - Fearless Firefly,None,308,9856000000000,0.000129289320
SSV - Insightful Ibex,None,308,9856000000000,0.000129289320
NO - 0x9e43d1a488a2b3e0d5bf8e0f4201b057f5bb4391,None,300,9600000000000,0.000125931156
Lighthouse Client Team,None,300,9600000000000,0.000125931156
CSM Operator 349,None,298,9536000000000,0.000125091615
CSM Operator 167,None,291,9312000000000,0.000122153221
Teku Client Team,None,288,9216000000000,0.000120893910
NO - 0x6e2c509d522d47f509e1a6d75682e6abbc38b362 - Stader,None,286,9152000000000,0.000120054369
Nimbus Client Team,None,284,9088000000000,0.000119214828
NO - 0x5008724186728bbd5cdddafb00c08b83be57961b,None,280,8960000000000,0.000117535746
NO - 0xc2392cbe1a23c755cd4c197d8f31cdbd678d80da,None,280,8960000000000,0.000117535746
CSM Operator 31,None,280,8960000000000,0.000117535746
NO - 0x8990d7555fee1e164b8cb09a6fa51aa616f32618,None,272,8704000000000,0.000114177581
NO - 0xc0e7c12756954454937943316b2ad99e4ebe11ac,None,268,8576000000000,0.000112498499
NO - 0xb984b9492b80325e09e7ddad1b52ac49d5808e9e,None,268,8576000000000,0.000112498499
Obol - Jubilant Jackal,None,266,8512000000000,0.000111658958
NO - 0x2fc184459069dc780b478f7e3c9ffd79e40842a3,None,265,8480000000000,0.000111239188
NO - 0xfbed2f322c918363f6e663e00e923574027c5231,None,265,8480000000000,0.000111239188
NO - 0x98a2f2e7e77212b8ab48a29b64b41471d405d718,None,261,8352000000000,0.000109560106
CSM Operator 291,None,260,8320000000000,0.000109140335
NO - 0xae6085f13a114689e92a4b220025ff2cc9ebbf6d,None,256,8192000000000,0.000107461253
NO - 0x3b6fc5cc2feefc357212617930aedac9493288af,None,256,8192000000000,0.000107461253
NO - 0x90e0e78e259ae3525beac2331af9fc6b86d7b9ef,None,253,8096000000000,0.000106201942
NO - 0xfed0bdd2a2dca00ea6ed3ff7ee3651d94d6f5b93 - Stader,None,248,7936000000000,0.000104103089
NO - 0x5649d3cb1874dbd9bb56e6847abf01a5626faac6,None,246,7872000000000,0.000103263548
NO - 0xff0d23ac689aa1bb77c82f9feff6727346e59310,None,245,7840000000000,0.000102843777
CSM Operator 260,None,244,7808000000000,0.000102424007
NO - 0x52e5f0a3fd38a9d73f313fd0973971b908688649,None,244,7808000000000,0.000102424007
NO - 0x2b5c4f9867c1300a2e4251feee40f99126f698ae,None,242,7744000000000,0.000101584466
