owner,validators,effective_balance_gwei,share
eth1:0x813ff37bdd2b10845470fa7d90bc7cd0fc94e456,980,31360000000000,0.000878260444
eth1:0xbc2dd7c3b781f0756c3b29182a723a760a472c82,970,31040000000000,0.000869298603
eth1:0x7a3cf9ce43d67d6b13bca8292195fb284fa16214,961,30752000000000,0.000861232945
eth1:0x74f306d64244319f642bf405054743a5a8400302,960,30720000000000,0.000860336761
eth1:0x504885b975917ca2855570686e8af29566f48d14,957,30624000000000,0.000857648209
eth1:0xb665c84e56bf6d6ad1c507f63588dd764301a63d,938,30016000000000,0.000840620711
eth1:0x1a4d601592ce8b1a706a3cb15d0547a2cf7b341e,930,29760000000000,0.000833451238
eth1:0xb266274f55e784689e97b7e363b0666d92e6305b,930,29760000000000,0.000833451238
eth1:0x6aae2a56871a257b6c631e3af7ed0e7c54cb4fa3,905,28960000000000,0.000811046634
eth1:0xb3e84b6c6409826dc45432b655d8c9489a14a0d7,901,28832000000000,0.000807461898
eth1:0x2641c2ded63a0c640629f5edf1189e0f53c06561,898,28736000000000,0.000804773346
eth1:0x5b3e2bb0fc7cad985c1461fec254a9cc162ff168,892,28544000000000,0.000799396241
eth1:0x54ba3db10a92fc6204ca371d7d16ef79b0e59986,880,28160000000000,0.000788642031
eth1:0x4231b2f83cb7c833db84cec0ceaaa9959f051374,879,28128000000000,0.000787745847
eth1:0x4c66c2055f6a7a01e102bde8d8d71d1d36667e21,869,27808000000000,0.000778784006
eth1:0xa554965fcd0d9493313e2eafa27eef5b058336f4,851,27232000000000,0.000762652692
eth1:0x1b2d27058eaf1bf8b642fbc998b0435c4667d884,845,27040000000000,0.000757275587
eth1:0x1d5ba5414f2983212e03bf7725add9eb4cdb00dc,842,26944000000000,0.000754587034
eth1:0x0a3bf3197ef42b596460c6678983a7ef62cf5207,840,26880000000000,0.000752794666
eth1:0x9f4cf329f4cf376b7aded854d6054859dd102a2a,827,26464000000000,0.000741144273
eth1:0xb6f71b16de19fe4cb63a796a8f3bfda0cc60e115,801,25632000000000,0.000717843485
eth1:0x864bd4e84bdf3dcee9f4212dc32f198277056e22,800,25600000000000,0.000716947301
eth1:0x12629df71143d67ad3f61931ff8b80d16d99211f,782,25024000000000,0.000700815987
eth1:0xde4a1b2ea88ec03e93aad9d4c5bffeb18687d079,768,24576000000000,0.000688269409
eth1:0x9b797341520c5baa1f72c060e6390996908e1a82,759,24288000000000,0.000680203752
eth1:0x6abda7af8dd62ea65043d8088640d6a2bd0ccd70,756,24192000000000,0.000677515200
eth1:0xf5b8bd960f8f19ec5c89340556d835ce59617e11,751,24032000000000,0.000673034279
eth1:0xe83e59b9c01b96977fe87067a1f766c800dc7d51,741,23712000000000,0.000664072438
eth1:0xc4cd87b6dc3afd114c55d83a4e54f895f738d27e,726,23232000000000,0.000650629676
eth1:0xb3d9cf8e163bbc840195a97e81f8a34e295b8f39,721,23072000000000,0.000646148755
eth1:0xefa4d4664757019a33c1db94789a4eddeeb7c365,719,23008000000000,0.000644356387
eth1:0xcd564d45654b7e90738ad4f578248704c361e391,706,22592000000000,0.000632705993
eth1:0x3a11dfc18b6e54d88fd846eff967c0b9da3a7132,698,22336000000000,0.000625536520
eth1:0xccbae80918ea0f544bd92d5ea07b2b13013f48de,685,21920000000000,0.000613886127
eth1:0xe117d3b91885b7d65c1888da9bc23c42f03573e7,664,21248000000000,0.000595066260
eth1:0x5d652886f0b4ae0b1b7d6be5b7e2d555aafdc812,661,21152000000000,0.000592377708
eth1:0x2324b024aac834cbe050718848ac56f607587dc8,660,21120000000000,0.000591481523
eth1:0x79c4d27f323195e206dbfa33b75bf3dec6540b3b,659,21088000000000,0.000590585339
eth1:0x2e08451b79a01cda253811e45719ceb42640c20d,649,20768000000000,0.000581623498
eth1:0xf02e86d9e0efd57ad034faf52201b79917fe0713,648,20736000000000,0.000580727314
eth1:0xbcc3141c4b51614f206ad10bcd025990ee01e4a2,638,20416000000000,0.000571765473
eth1:0x25601b3c4f29efb4e307cfcc86402934a4ed5136,632,20224000000000,0.000566388368
eth1:0xf4d1645dd1a8a44a3dd197cba2626161b01163c5,630,20160000000000,0.000564596000
eth1:0xa17e8d10e3d29e30ef95888a666551dc07cbaa9a,621,19872000000000,0.000556530342
eth1:0xb92b4a201f4320a6db6d1fb2d3bac834bdaa95c9,619,19808000000000,0.000554737974
eth1:0x82f5b60e7138c460d8d5dedf7ce7346660d37e51,615,19680000000000,0.000551153238
eth1:0x6f37216b54ea3fe4590ab3579fab8fd7f6dcf13f,612,19584000000000,0.000548464685
eth1:0xc494588aa736c18bb1e48204bf635d3519782f57,611,19552000000000,0.000547568501
eth1:0x6abd160ce27a31f29c08cf95818d9238aef1f58a,604,19328000000000,0.000541295212
eth1:0x1685094ecef6dfd94992151586d9b25ff89f6613,604,19328000000000,0.000541295212
eth1:0x25e1ba7a842dd3f1e1b42c708370a30d5b92904a,603,19296000000000,0.000540399028
eth1:0xcce21376727089a59671a9c32e45f828d7ad4613,601,19232000000000,0.000538606660
eth1:0xa91dff6c41af892a89fc5c0bf5c32b5cc89d13ac,596,19072000000000,0.000534125739
eth1:0x0809bda66ebcc1ab3aff66f91361540368daee49,565,18080000000000,0.000506344031
eth1:0x2997a2284c0d7c0d9d8cc14fd4532e5f1daa62b5,561,17952000000000,0.000502759295
eth1:0xeb097bd8a60aeb88f1864340f1d6d2ae75f8add3,541,17312000000000,0.000484835612
eth1:0x06a9d6c32434d185d328b13e91aeede2fe930727,526,16832000000000,0.000471392850
eth1:0x6d7e85e1590a1408862469f234a64d11e05a084f,521,16672000000000,0.000466911930
eth1:0xfe4bf92dba94090e64f5ec571182721b7f16d859,520,16640000000000,0.000466015746
eth1:0x06676e8584342cc8b6052cfdf381c3a281f00ac8,519,16608000000000,0.000465119562
eth1:0x6b8a0dc2683f894220f32313f052fbb2cce27979,518,16576000000000,0.000464223377
eth1:0x18add3a3b8d09e1e5d2755c29191733d5a1327ea,517,16544000000000,0.000463327193
eth1:0x032bd5cbb343117d7c2b183208ca85f7b8a226e3,514,16448000000000,0.000460638641
bls:0x00c324cd61bb014032ccdb61cb4f0cf827e654868c7e3858e4e488d70eb43608,510,16320000000000,0.000457053904
eth1:0x36a35fb10d9d273da615f4b658829901326e0d00,500,16000000000000,0.000448092063
eth1:0xd73325ce2db1c56a58957a0b1eed7aa0eac299b1,500,16000000000000,0.000448092063
eth1:0xdae56d85ff707b3d19427f23d8b03b7b76da1006,500,16000000000000,0.000448092063
eth1:0x60ac32d416507c844b43e29b2e12dd23f5277420,500,16000000000000,0.000448092063
eth1:0x485ad74f70ea3ad814d1dfe7a9284085499de682,500,16000000000000,0.000448092063
eth1:0x3dd89506d79f53dad1b252fb9301bc95c9792354,500,16000000000000,0.000448092063
eth1:0x4685db8bf2df743c861d71e6cfb5347222992076,500,16000000000000,0.000448092063
eth1:0xfc57a3959582e3af9afb7fb92cb0ad1f38bdd030,493,15776000000000,0.000441818774
eth1:0x5e3b62e38808fc9582c23bc05e8a19a091d979c9,492,15744000000000,0.000440922590
eth1:0xd0e8ce9a3b8b4934a3cdf1c6f43cb5ad6993981b,490,15680000000000,0.000439130222
eth1:0x9fb79dad6544a353c0c28068266ab703e8c3eba3,481,15392000000000,0.000431064565
eth1:0xc14d135aa1792ba1df3f7995a4b7ccac7c5a9c6d,481,15392000000000,0.000431064565
eth1:0xf5e49e3fc286d5d99361410b60f6faaca20e95cb,481,15392000000000,0.000431064565
eth1:0x7f79e3a9e096057e9df203fdbc1a8358d5b465b7,481,15392000000000,0.000431064565
eth1:0x92ee85cdb56abbe7c2e53b62d28f1ba4d6726f46,481,15392000000000,0.000431064565
eth1:0x11533081d7352cef5cd40a401ce220e76936f0c5,479,15328000000000,0.000429272197
eth1:0x46f41e39facdd1ea0e957827ef01082cb96dd361,474,15168000000000,0.000424791276
eth1:0xa7b47c53a52b3bb7cf1cca8c07d715ed8de68744,474,15168000000000,0.000424791276
eth1:0xb1cc8daec024cc4da431a746a2709834e24e634b,469,15008000000000,0.000420310355
eth1:0x44abcbd702c9e220553a189cd016a81941e19d9d,468,14976000000000,0.000419414171
eth1:0x784c5ce7fdf7787a091991ffaf0184fea94f77ce,466,14912000000000,0.000417621803
eth1:0x779190349f31c7bba1db2da051f118bf3074a477,461,14752000000000,0.000413140882
eth1:0xb36e9d2786005235ba9036585ecd4c40174555f3,460,14720000000000,0.000412244698
eth1:0x34cb778ea0b3e386a16616ec643f06e900bdea26,453,14496000000000,0.000405971409
eth1:0x89c5ff143691e0909a616d169489f8a387f49a62,450,14400000000000,0.000403282857
eth1:0x941ccf97a003c9bb1781e2ccf991942a178efee7,448,14336000000000,0.000401490489
eth1:0x85570fcfebeb4ca143c921edafca31b87bb2c970,441,14112000000000,0.000395217200
eth1:0xe98538a0e8c2871c2482e1be8cc6bd9f8e8ffd63,436,13952000000000,0.000390736279
eth1:0x8a6af67676694aa48acfe4798e23a80feee05bcb,434,13888000000000,0.000388943911
eth1:0x298e9ae2f232dbf87bfe2b7c7574b76158f4e230,434,13888000000000,0.000388943911
eth1:0xccb9025359c33acd0d833a257d71075a930af9db,434,13888000000000,0.000388943911
eth1:0x1a52301999e4766c4b37e6a50ab1ad96faca0260,421,13472000000000,0.000377293517
eth1:0x4d21fcce817355dfcc792b07a57fc48b818e8a8a,419,13408000000000,0.000375501149
eth1:0x3cc017b052f20f06ada60f82966cae5c66f1dafd,411,13152000000000,0.000368331676
eth1:0x46d24de64abe6a7ab6afda0389074ae8c7ed5d0f,404,12928000000000,0.000362058387
eth1:0x812928641b5fa88aa1aa56652a48b2683b4aef1f,404,12928000000000,0.000362058387
eth1:0x528948fbe923aa5efbd8423403374f45d44fd475,404,12928000000000,0.000362058387
eth1:0x726135882d10c6f93c032060b14a9d490f69a5b4,400,12800000000000,0.000358473651
eth1:0x214b4c0339669ba2c9acf7c493940a4a0440bc32,400,12800000000000,0.000358473651
eth1:0xa1c52afa77d87796b8cd34f4801e062fb54e7df6,400,12800000000000,0.000358473651
eth1:0xded05be2a96102031bba55e163a0ee45f3c4de57,400,12800000000000,0.000358473651
eth1:0x1f01a06cae4430f3d763d9c3acbbb1ff24fa1a1c,400,12800000000000,0.000358473651
eth1:0x778db3cf0756c9c004d8e552c9b1223e8e458188,400,12800000000000,0.000358473651
eth1:0x0875acc82a80054b867266acc7213586430f582b,400,12800000000000,0.000358473651
